2020-11-23 23:16:57.439 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.479 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.516 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.553 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.586 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.630 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.668 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.706 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.751 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.789 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.825 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.864 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.900 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.936 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:57.972 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.004 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.039 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.074 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.113 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.155 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.193 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.226 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.259 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.292 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.329 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.367 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.407 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.445 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.483 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.527 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.562 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.604 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.643 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.678 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.715 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.750 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.787 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.822 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.860 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.905 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:58.947 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.040 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.085 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.118 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.155 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.189 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.223 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.260 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.297 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.347 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.390 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.464 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.512 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.548 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.588 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.625 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.663 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.708 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.753 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.798 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.836 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.881 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.953 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:16:59.999 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:17:00.042 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:17:00.085 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:17:00.124 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:17:00.162 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:17:00.199 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:17:00.244 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:17:00.306 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:17:00.398 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:17:00.485 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:17:00.523 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-11-23 23:17:00.561 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
